geo.coordinates
"[ 29.95032744, -90.07302673 ]"
"[ 29.88223277, -90.04538951000001 ]"
"[ 29.95009856, -90.09416514999999 ]"
"[ 30.02644119, -90.06766887000001 ]"
"[ 29.95472252, -90.00231205999999 ]"

"[ 32.56235, -93.0061 ]"
"[ 31.94140008, -92.69694507 ]"
"[ 29.95009856, -90.09416514999999 ]"
"[ 29.85037639, -90.96742867 ]"
"[ 30.91426283, -92.24326795 ]"
"[ 30.37704467, -92.00613711 ]"
"[ 29.9549117, -90.0022529 ]"
"[ 29.95010125, -90.09419608 ]"
"[ 31.991252, -91.67679800000001 ]"
"[ 30.02641889, -90.06763707 ]"
"[ 29.95471179, -90.00232278999999 ]"
"[ 30.0252208, -90.0482653 ]"
"[ 29.95003121, -90.09423321 ]"
"[ 30.31786689, -91.90253067 ]"
"[ 30.02638383, -90.06762814 ]"
"[ 32.08904282, -93.87377902999999 ]"
"[ 29.93830074, -90.12099041 ]"
"[ 29.94993994, -90.0942737 ]"

"[ 32.56019346, -92.05824991999999 ]"
"[ 30.02643975, -90.06762875 ]"
"[ 29.94993994, -90.0942737 ]"
"[ 29.78184799, -90.78514315 ]"
"[ 30.059469, -91.93849899999999 ]"
"[ 29.9277103, -90.088932 ]"
"[ 29.96134336, -90.05912519 ]"
"[ 29.9549117, -90.0022529 ]"
"[ 30.66965739, -92.26586596999999 ]"
"[ 30.68151789, -92.88332157000001 ]"
"[ 29.94993994, -90.0942737 ]"
"[ 29.95471716, -90.00234424999999 ]"
"[ 29.94993994, -90.0942737 ]"
"[ 30.25811751, -93.23189433 ]"
"[ 31.94137814, -92.6969848 ]"
"[ 30.31785925, -91.90251944000001 ]"
"[ 30.02646445, -90.06764096000001 ]"
"[ 29.85292771, -90.10926177 ]"
"[ 14.6300273, -89.9874366 ]"
"[ 32.95853635, -92.76440316999999 ]"
"[ 31.94137814, -92.6969848 ]"
"[ 32.5629038, -92.05670782 ]"
"[ 30.0252208, -90.0482653 ]"
"[ 30.66965739, -92.26586596999999 ]"
"[ 30.2297786, -93.1116262 ]"
"[ 30.89150942, -92.22712121000001 ]"
"[ 32.46759962, -92.08834354 ]"
"[ 29.954674, -90.07532 ]"
"[ 29.9549097, -90.00225330000001 ]"
"[ 32.94508353, -92.76642703 ]"
"[ 32.55278, -92.89299 ]"
"[ 29.9080117, -90.0027248 ]"
"[ 32.62321123, -91.93924385 ]"
"[ 29.95942921, -90.01238241999999 ]"
"[ 29.9549097, -90.00225349999999 ]"
"[ 32.44703529, -92.09283893 ]"
"[ 30.00322009, -90.15130308000001 ]"
"[ 30.2297831, -93.11164479999999 ]"
"[ 29.94995334, -90.09373443 ]"
"[ 30.0264498, -90.0676369 ]"
"[ 30.23450345, -93.14204965 ]"
"[ 29.85063681, -90.96737404 ]"
"[ 30.44733092, -92.36360322 ]"
"[ 29.88223277, -90.04538951000001 ]"
"[ 30.0089, -90.0647 ]"
"[ 31.94142134, -92.69705573 ]"
"[ 30.01018233, -90.22041075 ]"
"[ 30.02641147, -90.06762646 ]"
"[ 29.9387791, -90.06412315 ]"
"[ 29.95000934, -90.09421737 ]"
"[ 30.63357279, -92.79801064999999 ]"
"[ 15.7661323, -86.78552620000001 ]"
"[ 15.54578, -88.02866 ]"
"[ 30.66965739, -92.26586596999999 ]"
"[ 29.954574, -90.07550999999999 ]"
"[ 30.27433135, -91.97174397000001 ]"

"[ 29.95000934, -90.09421737 ]"
